131.89489,43.100838,Россия,Приморский край,Владивосток,Пихтовая улица,4А
133.478198,44.427361,Россия,Приморский край,село Яковлевка,Советская улица,44
132.574106,44.343565,Россия,Приморский край,село Черниговка,Октябрьская улица,58
133.50601,45.092398,Россия,Приморский край,посёлок городского типа Кировский,Советская улица,61В
132.076422,44.422887,Россия,Приморский край,село Хороль,Ленинская улица,102
133.361012,43.35013,Россия,Приморский край,село Сергеевка,улица Пушкина,2А
133.359665,44.228122,Россия,Приморский край,село Новосысоевка,улица 3-я Площадка,206
133.494583,45.102591,Россия,Приморский край,посёлок городского типа Кировский,улица Гагарина,89/1
84.950496,56.488969,Россия,Томская область,Томск,улица Розы Люксембург,4
84.972963,56.475002,Россия,Томская область,Томск,Тверская улица,68/2
85.057405,56.517068,Россия,Томская область,Томск,Иркутский тракт,156
84.983986,56.476394,Россия,Томская область,Томск,проспект Фрунзе,116
85.042717,56.472784,Россия,Томская область,Томск,улица Королёва,4
85.010127,56.476244,Россия,Томская область,Томск,проспект Фрунзе,224
84.975586,56.513457,Россия,Томская область,Томск,проспект Мира,17
84.968175,56.469622,Россия,Томская область,Томск,улица Карташова,38
85.02723,56.524943,Россия,Томская область,Томск,улица Репина,12
84.991019,56.501188,Россия,Томская область,Томск,улица Пушкина,52Г
84.990274,56.52397,Россия,Томская область,Томск,улица Смирнова,36
84.979808,56.458308,Россия,Томская область,Томск,улица Елизаровых,8
84.950496,56.488969,Россия,Томская область,Томск,улица Розы Люксембург,4
84.998556,56.476468,Россия,Томская область,Томск,проспект Фрунзе,174
84.980204,56.473555,Россия,Томская область,Томск,улица Герцена,55
84.943525,56.526869,Россия,Томская область,Томск,Профсоюзная улица,16
85.017699,56.506071,Россия,Томская область,Томск,Иркутский тракт,76
84.949239,56.505649,Россия,Томская область,Томск,проспект Ленина,195
84.980985,56.541086,Россия,Томская область,Томск,улица Кутузова,8
84.984623,56.503125,Россия,Томская область,Томск,улица 79-й Гвардейской Дивизии,3/2
84.951242,56.468971,Россия,Томская область,Томск,проспект Ленина,51
